id,單字,组词,原註,罕度
1029,補,補充(补充),,0
1031,部,部分,,0
1032,媽,媽媽(妈妈),,0
1035,普,普通,,0
1037,兔,兔子,,0
1038,渡,渡過(渡过),,0
1039,度,度量衡,度量衡,0
1040,度,量度,量度,0
1041,路,道路,,0
1043,露,暴露,,0
1045,作,工作,,0
1047,醋,陳醋(陈醋),,0
1049,錯,錯誤(错误),錯誤,0
1050,錯,交錯(交错),交錯,0
1051,錯,措置,同「措」,0
1052,訴,告訴(告诉),,0
1053,塑,塑料,,0
1054,素,素材,,0
1055,固,牢固,,0
1057,故,故事,,0
1058,顧,照顧(照顾),,0
1060,庫,倉庫(仓库),,0
1061,悟,覺悟(觉悟),,0
1063,誤,錯誤(错误),,0
1065,互,互相,,0
1066,護,保護(保护),,0
1067,布,分佈(分布),,0
1068,佈,佈置(布置),,0
1069,步,腳步(脚步),,0
1070,捕,捕捉,,0
1072,慕,羨慕(羡慕),,0
1073,墓,墳墓(坟墓),,0
1074,暮,暮色,,0
1076,怖,恐怖,,0
1077,摟,摟抱(搂抱),,0
1079,趨,趨勢(趋势),,0
1080,鬚,鬍鬚(胡须),,0
1081,需,需要,,0
1082,須,必須(必须),,0
1084,株,植株,,0
1085,列,排列,,0
1086,蛛,蜘蛛,,0
1087,廚,廚房(厨房),,0
1089,朱,朱紅(朱红),,0
1090,珠,珍珠,,0
1093,殊,特殊,,0
1095,輸,運輸(运输),,0
1099,俱,一應俱全(一应俱全),,0
1100,拘,拘留,,0
1103,驅,驅趕(驱赶),,0
1105,區,區別(区别),區別,0
1106,區,姓氏,區姓,0
1109,愚,愚蠢,,0
1110,娛,娛樂(娱乐),,0
1112,于,等於(等于),,0
1113,汙,汙染(污染),,0
1120,榆,榆樹(榆树),,0
1124,愉,愉快,,0
1125,膚,皮膚(皮肤),,0
1126,夫,農夫(农夫),農夫,0
1127,夫,夫,古代指示詞、代詞、助詞,0
1128,符,符號(符号),,0
1131,扶,扶持,,0
1133,無,無法(无法),,0
1137,鋪,鋪張(铺张),鋪張,0
1138,鋪,店鋪(店铺),店鋪,0
1141,俘,俘獲(俘获),,0
1144,句,句子,,0
1146,取,取得,,0
1147,聚,聚集,,0
1149,柱,柱子,,0
1150,數,數一數(数一数),～數,0
1151,數,數字(数字),數字,0
1152,數,屢見不鮮(屡见不鲜),數見不鮮,0
1153,主,主人,,0
1154,樹,樹木(树木),,0
1155,豎,豎立(竖立),,0
1156,乳,乳汁,,0
1157,矩,規矩(规矩),,0
1161,雨,落雨,落雨,0
1162,雨,雨我公田,雨我公田,0
1163,羽,羽毛,,0
1164,宇,宇宙,,0
1166,愈,治癒(治愈),,0
