聲紐,呼,等,韻部,聲調,組,攝,單字,罕
來,開,三,魚,平,來,遇,臚,2
來,開,一,模,平,來,遇,鱸,2
來,開,三,鍾,入,來,通,籙,2
來,開,一,模,去,來,遇,潞,2
來,合,一,寒,平,來,山,欒,2
來,合,一,寒,平,來,山,灤,2
來,合,一,寒,平,來,山,鑾,2
,,,,,,,玀,2
來,開,一,唐,入,來,宕,珞,2
來,開,三,魚,平,來,遇,閭,2
來,開,一,侯,平,來,流,褸,2
來,合,三,虞,上,來,遇,褸,2
明,合,一,桓,去,幫,山,墁,2
,,,,,,,牤,2
明/明,開/合,一/一,唐/陽,平/平,幫,宕/宕,邙,2
明,合,三,陽,平,幫,宕,鋩,2
,,,,,,,鉚,1
明/明,開/開,一/二,豪/江,去/入,幫,效/覺,眊,2
明,開,一,侯,去,幫,流,懋,2
明,開,三,祭A,去,幫,蟹,袂,2
明,合,一,魂,平,幫,臻,捫,2
明,合,一,魂,去,,臻,懣,2
,,,,,,,勐,2
,,,,,,,嘧,2
明,開,三,仙A,上,幫,山,湎,2
明,開,三,宵A,上,幫,效,淼,2
明,開,三,真B,上,幫,臻,閔,2
明,開,四,青,上,幫,梗,茗,2
明,開,四,青,平,幫,梗,溟,2
明,開,四,青,上,幫,梗,酩,2
明,開,一,模,平,幫,遇,謨,2
,,,,,,,蘑,1
明,開,一,寒,入,幫,山,秣,2
明,開,二,庚,入,,梗,貉,2
匣,開,一,鐸,入,,宕,貉,2
明,開,二,庚,入,幫,梗,貘,2
,,,,,,,氖,2
娘,開,二,刪,上,知,山,赧,2
,,,,,,,囔,2
娘,開,二,肴,平,知,效,呶,2
娘,開,二,肴,去,知,效,淖,2
泥,合,一,魂,入,端,臻,訥,2
娘,開,三,脂B,平,知,止,怩,2
疑,開,四,齊,平,見,蟹,鯢,2
娘,開,三,支B,上,知,止,旎,2
疑,開,四,齊,去,見,蟹,睨,2
端/端,開/開,四/四,蕭/蕭,上/去,,效/效,蔦,2
泥,開,四,蕭,上,端,效,嫋,2
,,,,,,,乜,2
明,開,三,麻,上,,假,乜,2
疑,開,三,薛B,入,,山,櫱,2
,,,,,,,擰,1
,,,,,,,忸,2
孃,開,三,東,入,,通,忸,2
孃,開,二,江,平,,江,噥,2
泥,開,一,冬,平,,通,噥,2
泥,開,一,歌,平,端,果,儺,2
,,,,,,,喏,2
日,開,三,麻,上,,假,喏,2
,,,,,,,搦,2
孃/日,開/開,三/三,東/東,入/入,,通/通,衄,2
疑,開,一,侯,上,見,流,耦,2
滂,開,二,麻,平,幫,假,葩,2
並,開,二,皆,平,幫,蟹,俳,2
並,開,一,寒,平,幫,山,槃,2
滂,開,一,寒,去,幫,山,泮,2
,,,,,,,耪,2
,,,,,,,呸,2
,,,,,,,嘭,2
滂,開,四,齊,平,,蟹,砒,2
並,開,三,脂A,平,幫,止,毗,2
並,開,三,支A,平,,止,蜱,2
並,開,四,齊,平,幫,蟹,鼙,2
並/幫,開/開,三/三,脂B/脂B,上/上,,止/止,痞,2
幫,開,三,尤,上,,流,痞,2
滂,開,四,齊,去,幫,蟹,睥,2
滂,開,三,宵A,去,,效,剽,2
滂,開,三,宵A,平,幫,效,嘌,2
並,開,三,真A,平,幫,臻,嬪,2
並,開,一,歌,平,幫,果,鄱,2
,,,,,,,噗,2
幫,開,一,東,入,幫,通,濮,2
羣,開,三,微,平,,止,圻,2
群,開,三,支A,平,見,止,芪,2
群,開,三,微,平,見,止,頎,2
群,開,三,之,平,見,止,祺,2
群,開,三,之,平,見,止,綦,2
羣,開,三,之,平,,止,蘄,2
清,開,三,緝A,入,,深,葺,2
溪,開,二,麻,去,見,假,髂,2
,,,,,,,扦,2
群,開,三,鹽B,平,見,咸,鈐,2
群,開,三,鹽B,平,見,咸,箝,2
,,,,,,,戧,2
從/生,開/開,三/三,陽/蒸,平/入,,宕/曾,嬙,2
溪/溪,開/開,二/二,山/耕,平/平,,山/梗,羥,2
清,開,三,陽,平,精,宕,蹌,2
溪,開,三,宵B,平,見,效,橇,2
羣,開,三,宵B,去,,效,嶠,2
羣,開,三,宵B,平,,效,嶠,2
從,開,三,宵A,去,精,效,誚,2
溪,開,四,先,入,見,山,挈,2
,,,,,,,趄,2
清,開,三,魚,平,,遇,趄,2
溪,開,三,侵B,平,見,深,衾,2
群,開,三,侵B,平,見,深,芩,2
,,,,,,,氰,2
群,開,三,鍾,平,見,通,邛,2
精,開,三,尤,平,,流,湫,2
清,開,三,尤,平,精,流,楸,2
群,開,三,幽,平,見,流,虯,2
,,,,,,,祛,2
,,,,,,,蛐,2
群,合,三,虞,平,見,遇,癯,2
群,合,三,虞,平,見,遇,衢,2
,,,,,,,蠼,2
溪,合,三,虞,上,見,遇,齲,2
溪,合,四,青,入,見,梗,闃,2
清,合,三,仙A,平,精,山,荃,2
清,合,三,仙A,平,精,山,筌,2
,,,,,,,醛,2
見,合,四,齊,去,見,蟹,炔,2
溪,合,四,先,入,見,山,闋,2
清,合,三,真A,平,精,臻,逡,2
日,開,三,陽,平,日,宕,禳,2
,,,,,,,嬈,2
日,開,三,侵A,上,日,深,荏,2
日,合,三,虞,平,,遇,濡,2
,,,,,,,偌,2
,,,,,,,仨,2
心,開,一,覃,入,精,咸,颯,1
,,,,,,,噻,2
心,開,一,覃,上,精,咸,糝,2
心,開,一,豪,平,,效,繅,2
心,開,一,豪,去,精,效,瘙,2
,,,,,,,銫,2
生,開,三,蒸,入,莊,曾,穡,2
,,,,,,,痧,2
生,開,二,麻,平,莊,假,裟,2
,,,,,,,啥,1
生,開,二,銜,平,莊,咸,芟,2
,,,,,,,舢,2
生/生,開/開,二/二,刪/刪,平/上,,山/山,潸,2
常/常,開/開,三/三,仙A/仙A,去/上,,山/山,鄯,2
,,,,,,,嬗,2
常,開,三,仙A,上,,山,鱔,2
書,開,三,陽,平,章,宕,殤,2
生,開,二,肴,平,莊,效,筲,2
生,開,二,肴,平,,效,艄,2
,,,,,,,猞,2
書,開,三,麻,平,,假,畲,2
生,開,三,臻,平,莊,臻,詵,2
,,,,,,,砷,2
船,開,三,蒸,去,章,曾,嵊,2
船,開,三,脂A,去,章,止,諡,2
書,開,三,清A,入,章,梗,奭,2
書,開,三,清A,入,章,梗,螫,2
常/常,開/開,三/三,尤/尤,上/去,,流/流,綬,2
,,,,,,,疋,2
書,開,三,東,入,章,通,菽,2
常/章,合/合,三/三,虞/虞,去/去,,遇/遇,澍,2
從/船,合/合,三/三,仙A/諄,上/上,,山/臻,吮,1
章/常,開/開,三/三,陽/陽,入/入,,宕/宕,妁,2
書,開,三,陽,入,章,宕,鑠,2
生,開,三,脂B,平,莊,止,螄,2
,,,,,,,鍶,2
邪,開,三,之,上,精,止,汜,2
心,開,三,脂A,去,精,止,泗,2
心,開,三,鍾,平,精,通,淞,2
生,開,三,尤,平,,流,溲,2
,,,,,,,僳,2
,,,,,,,簌,2
,,,,,,,睢,2
心,合,一,魂,平,精,臻,蓀,2
心,開,一,歌,平,精,果,挲,2
,,,,,,,羧,2
,,,,,,,嗩,2
心,開,一,覃,入,精,咸,趿,2
透,開,一,寒,入,端,山,撻,2
,,,,,,,肽,2
,,,,,,,鈦,2
定,開,一,覃,平,端,咸,曇,1
定,開,一,談,平,端,咸,郯,2
,,,,,,,羰,2
,,,,,,,蹚,2
定,開,一,唐,平,端,宕,搪,1
定,開,一,唐,平,端,宕,溏,2
透,開,一,唐,上,,宕,帑,2
泥,開,一,模,平,,遇,帑,2
透,開,一,唐,上,,宕,儻,2
定/定,開/開,一/一,豪/豪,去/平,,效/效,燾,2
透,開,一,豪,平,端,效,韜,2
透,開,一,豪,平,端,效,饕,2
透,開,一,豪,平,,效,洮,2
定,開,四,齊,平,端,蟹,銻,2
定,開,四,齊,平,端,蟹,鵜,2
透,開,四,青,入,端,梗,逖,2
定/定,開/開,四/四,齊/齊,上/去,,蟹/蟹,悌,2
透,開,四,蕭,平,,效,佻,2
定,開,四,蕭,平,,效,佻,2
定,開,四,蕭,平,端,效,苕,2
,,,,,,,笤,1
透,開,四,先,入,端,山,餮,2
見,開,四,青,上,見,梗,烴,2
,,,,,,,酮,2
定,開,一,東,平,,通,潼,2
定,開,一,東,去,端,通,慟,2
定,開,一,侯,平,端,流,骰,2
,,,,,,,坨,2
定,開,一,歌,上,端,果,柁,2
,,,,,,,砣,2
透,開,一,唐,入,端,宕,柝,2
透,開,一,唐,入,端,宕,籜,2
,,,,,,,佤,2
影,合,二,皆,平,影,蟹,崴,2
影,合,二,刪,上,,山,綰,2
明,合,三,陽,上,幫,宕,罔,2
影,合,三,微,平,影,止,葳,2
云,合,三,微,平,影,止,幃,2
以,合,三,脂A,平,以,止,濰,2
娘,合,三,支B,去,知,止,諉,2
影,合,一,灰,上,影,蟹,猥,2
云,合,三,微,上,影,止,韙,2
影,合,三,支B,平,,止,痿,2
明,合,三,文,去,,臻,汶,2
,,,,,,,撾,2
知,合,二,麻,平,,假,撾,2
影,合,一,戈,平,,果,萵,2
影,開,二,江,入,影,江,幄,2
明,合,三,虞,上,幫,遇,廡,2
疑,開,一,模,去,見,遇,忤,2
明,合,三,虞,上,幫,遇,嫵,2
疑,開,一,模,去,見,遇,捂,1
,,,,,,,牾,2
明,合,三,虞,去,幫,遇,騖,2
明/明,開/合,一/三,東/虞,入/去,,通/遇,鶩,2
徹,開,三,脂B,平,知,止,郗,2
,,,,,,,唏,2
,,,,,,,硒,2
曉,開,三,侵B,入,影,深,翕,2
心,開,四,青,入,精,梗,皙,2
曉/曉,開/開,三/三,微/微,上/平,,止/止,豨,2
曉,開,三,之,平,影,止,僖,2
,,,,,,,樨,2
匣,開,四,青,入,影,梗,覡,2
,,,,,,,氙,2
,,,,,,,酰,2
匣,開,四,先,平,影,山,舷,1
匣,開,二,山,平,影,山,癇,2
曉,開,四,先,上,,山,蜆,2
心,開,三,陽,平,精,宕,驤,2
見,開,四,蕭,平,,效,梟,2
,,,,,,,梟,2
曉,開,四,蕭,平,影,效,嘵,2
云,開,三,宵B,平,影,效,鴞,3
,,,,,,,擷,2
匣,開,四,添,入,影,咸,勰,2
匣,開,四,先,入,影,山,纈,2
見,開,二,佳,去,見,蟹,廨,2
心,開,四,添,入,精,咸,燮,2
心,開,四,添,入,精,咸,躞,2
曉,開,三,欣,平,影,臻,訢,3
,,,,,,,芯,1
曉,開,三,欣,平,影,臻,忻,2
曉,開,三,欣,平,影,臻,昕,2
,,,,,,,鋅,1
曉,開,三,侵B,平,影,深,歆,2
心,開,三,真A,去,精,臻,囟,2
匣,開,二,庚,上,影,梗,荇,2
匣,開,四,青,上,,梗,悻,2
匣,開,四,青,上,,梗,悻,2
曉,開,三,尤,平,影,流,貅,2
邪,開,三,尤,去,精,流,岫,2
,,,,,,,溴,2
曉,合,三,虞,平,影,遇,盱,2
曉,開,三,燭,入,,通,頊,2
曉,合,三,蒸,入,影,曾,洫,2
心,開,三,東,入,精,通,蓿,2
群,開,三,陽,入,見,宕,噱,2
定,開,一,覃,平,端,咸,蕁,2
心,合,三,真A,平,精,臻,峋,2
心,合,三,諄,平,,臻,洵,2
,,,,,,,鱘,2
心/心/生,開/開/開,三/四/二,眞A/先/佳,去/去/去,,臻/山/蟹,汛,1
邪,合,三,真A,去,精,臻,徇,2
心,合,一,魂,去,精,臻,巽,2
以,開,三,麻,平,,假,琊,2
