id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
8321,清,開,三,侵A,平,,深,駸,0,駸駸(骎骎),,2
8322,初,開,三,侵B,平,,深,駸,0,駸尋(骎寻),,2
8323,溪,開,三,侵B,平,見,深,嶔,0,嶔崟,,3
8324,群,開,三,欣,平,見,臻,懃,0,殷懃(殷勤),,3
8325,莊,開,三,臻,平,莊,臻,溱,0,溱水,,2
8326,從,開,三,侵A,平,,深,䰼,0,,,3
8327,群,開,三,侵B,平,見,深,檎,0,林檎,,2
8328,從,開,三,真A,平,精,臻,螓,0,螓首,,3
8329,,,,,,,,蠄,0,,,3
8330,,,,,,,,鋟,0,鋟版,,3
8331,群,開,三,庚,平,見,梗,勍,0,勍敵,,3
8332,羣,開,三,庚,平,,梗,檠,0,燈檠(灯檠),,2
8333,見,開,三,庚,上,,梗,檠,0,弓檠,,2
8334,羣,開,三,庚,去,,梗,檠,0,檠架,,2
8335,群,開,三,庚,平,見,梗,黥,0,黥刑,,2
8336,,,,,,,,㷫,0,,,3
8337,溪,開,四,青,上,見,梗,謦,0,謦欬,,3
8338,群,開,三,鍾,平,見,通,筇,0,筇竹,,2
8339,群,開,三,鍾,平,見,通,蛩,0,蛩聲(蛩声),,2
8340,群,合,三,清A,平,見,梗,睘,0,睘睘,,3
8341,溪,開,三,鍾,平,,通,銎,0,,,3
8342,曉,開,三,鍾,平,,通,銎,0,,,3
8343,,,,,,,,坵,0,坵壑,,3
8344,清,開,三,尤,平,精,流,鶖,0,禿鶖,,3
8345,,,,,,,,鰌,0,,,3
8346,從,開,三,尤,平,,流,鰌,0,,,3
8347,群,開,三,尤,平,見,流,厹,0,,,3
8348,群,開,三,尤,平,見,流,犰,0,犰狳,,2
8349,群,開,三,尤,平,見,流,俅,0,,,2
8350,群,開,三,尤,平,見,流,逑,0,好逑,,2
8351,群,開,三,尤,平,見,流,梂,0,,,3
8352,群,開,三,尤,平,見,流,賕,0,賕賂(赇赂),,2
8353,群,開,三,尤,平,見,流,絿,0,,,3
8354,群,開,三,幽,平,見,流,觩,0,,,3
8355,羣,開,三,尤,平,,流,璆,0,璆琳,,3
8356,羣,開,三,幽,平,,流,璆,0,,,3
8357,從,開,三,尤,平,,流,蝤,0,蝤蠐,,3
8358,群,開,三,尤,平,見,流,銶,0,,,3
8359,群,開,三,尤,平,見,流,鼽,0,鼽鼻,,3
8360,曉,開,三,東,去,,通,䠗,0,,,3
8361,溪,開,三,幽,去,,流,䠗,0,,,3
8362,溪,合,三,文,入,見,臻,詘,0,詘折,,3
8363,溪,合,三,虞,平,見,遇,敺,0,敺馳,,3
8364,溪,開,三,魚,平,見,遇,袪,0,袪衣,,3
8365,清,開,三,魚,平,,遇,䏣,0,,,3
8366,清,開,三,魚,去,,遇,䏣,0,,,3
8367,群,合,三,虞,平,見,遇,劬,0,劬勞(劬劳),,2
8368,羣,合,三,虞,平,,遇,朐,0,臨朐(临朐),,2
8369,群,合,三,虞,平,見,遇,鸜,0,鸜鵒,,3
8370,羣,合,三,虞,平,,遇,絇,0,,,3
8371,群,開,三,魚,平,見,遇,蕖,0,芙蕖,,2
8372,群,開,三,魚,平,見,遇,磲,0,硨磲(砗磲),,2
8373,群,開,三,魚,平,見,遇,璩,0,,,2
