id,單字,组词,原註,罕度
2747,瞭,瞭望,瞭望,1
2748,瞭,明瞭(明了),明瞭,1
2751,繚,繚繞(缭绕),,1
2752,寥,寂寥,,1
2756,蕭,蕭條(萧条),,1
2758,簫,洞簫(洞箫),,1
2763,僥,僬僥(僬侥),僬僥，短人，西南夷別名,1
2764,僥,僥倖(侥幸),僥倖,1
2778,嘯,長嘯(长啸),,1
2781,竅,竅門(窍门),,1
2790,馱,馱運(驮运),,1
2794,囉,囉嗦(啰嗦),囉嗦,1
2795,囉,嘍囉(喽啰),嘍囉,1
2805,搓,搓手,,1
2810,梭,穿梭,,1
2813,渦,漩渦(漩涡),漩渦,1
2814,渦,渦河(涡河),渦河,1
2818,戈,干戈,,1
2823,蝌,蝌蚪,,1
2826,訛,訛詐(讹诈),,1
2831,俄,俄羅斯(俄罗斯),,1
2834,呵,呵斥,,1
2835,靴,靴子,,1
2838,苛,苛刻,,1
2854,頗,頗為(颇为),,1
2860,枷,枷鎖(枷锁),,1
2863,橢,橢圓(椭圆),,1
2865,舵,舵手,,1
2866,娜,婀娜,婀娜,1
2867,娜,安娜,安娜,1
2868,裸,裸露,,1
2871,瑣,瑣碎(琐碎),,1
2878,坷,坎坷,,1
2883,跛,跛行,,1
2884,跛,跛,白讀,1
2885,跛,跛,站立時重心偏於某一足上,1
2886,簸,顛簸(颠簸),,1
2890,唾,唾棄(唾弃),,1
2891,邏,邏輯(逻辑),,1
2892,挫,挫折,,1
2901,縛,束縛(束缚),,1
2909,砂,砂石,,1
2913,奢,奢侈,,1
2931,樺,白樺(白桦),,1
2943,窪,窪地(洼地),,1
2946,椰,椰子,,1
2950,笆,籬笆(篱笆),,1
2951,芭,芭蕉,,1
2956,蟆,蛤蟆,,1
2971,寡,寡婦(寡妇),,1
2998,詐,詐騙(诈骗),,1
3000,乍,乍看,,1
3001,蔗,甘蔗,,1
3004,赦,赦免,,1
3009,訝,驚訝(惊讶),,1
3011,唬,嚇唬,,1
3013,暇,閒暇(闲暇),,1
3021,靶,靶子,,1
3027,鐺,鐺鐺(铛铛),鐺鐺,1
3028,鐺,瓦鐺(瓦铛),瓦鐺,1
3031,棠,海棠,,1
3038,琅,琳琅,,1
3039,榔,檳榔(槟榔),,1
3045,贓,贓款(赃款),,1
3046,滄,滄桑(沧桑),,1
3060,恍,恍惚,,1
3069,杭,杭州,,1
3070,凰,鳳凰(凤凰),,1
3072,惶,惶恐,,1
3081,吭,引吭高歌,引吭高歌,1
3082,吭,一聲不吭(一声不吭),吭聲,1
3094,螃,螃蟹,,1
3099,磅,磅礴,磅礴,1
3100,磅,磅,重量單位,1
3108,慷,慷慨,,1
3110,骯,骯髒(肮脏),,1
3126,拓,開拓(开拓),開拓,1
3127,拓,拓本,拓本,1
3128,踱,踱步,,1
3129,諾,諾言(诺言),,1
3130,酪,乳酪,乳酪,1
3131,酪,杏仁酪,杏仁酪,1
3132,洛,洛陽(洛阳),,1
3133,烙,烙印,,1
3144,郭,郭,,1
3145,廓,輪廓(轮廓),,1
3146,噩,噩夢(噩梦),,1
3147,愕,驚愕(惊愕),,1
3150,霍,霍,,1
3154,鶴,仙鶴(仙鹤),,1
3162,寞,寂寞,,1
3176,蔣,蔣(蒋),,1
3187,湘,湘江,,1
3190,廂,車廂(车厢),,1
3192,翔,飛翔(飞翔),,1
3201,妝,化妝(化妆),,1
3211,樟,樟腦(樟脑),,1
3214,彰,彰顯(彰显),,1
3215,猖,猖狂,,1
3229,攘,攘除,攘除,1
3230,攘,擾攘(扰攘),擾攘,1
3231,鑲,鑲嵌(镶嵌),,1
3234,韁,韁繩(缰绳),,1
3240,眶,眼眶,,1
3243,鴦,鴛鴦(鸳鸯),,1
3258,肪,脂肪,,1
3284,杖,拐杖,,1
3295,逛,逛街,,1
3302,枉,冤枉,,1
3328,漾,蕩漾(荡漾),,1
3334,爵,爵位,,1
3338,酌,斟酌,,1
3339,灼,灼熱(灼热),,1
3341,綽,闊綽(阔绰),,1
3342,爍,閃爍(闪烁),,1
3343,溺,溺水,溺死,1
3344,溺,便溺,便溺,1
3349,瘧,瘧疾(疟疾),,1
3350,虐,虐待,,1
3355,獰,猙獰(狰狞),,1
3359,澄,澄清,,1
3364,笙,蘆笙(芦笙),,1
3365,猩,猩猩,,1
3366,甥,外甥,,1
3368,羹,蛋羹,,1
3372,埂,田埂,,1
3376,荊,荊棘(荆棘),,1
3378,卿,愛卿(爱卿),,1
3385,瑩,晶瑩(晶莹),,1
3392,澎,澎湃,,1
3393,彭,彭,,1
3395,坪,草坪,,1
3400,擎,引擎,,1
3401,鯨,鯨魚(鲸鱼),,1
3402,檸,檸檬(柠檬),,1
3409,梗,梗概,,1
3418,秉,秉承,,1
3423,皿,器皿,,1
3448,赫,顯赫(显赫),,1
3457,陌,陌生,,1
3463,瞪,瞪眼,,1
3464,橙,橙子,,1
3466,猙,猙獰(狰狞),,1
3474,鶯,黃鶯(黄莺),,1
3475,鸚,鸚鵡(鹦鹉),,1
3479,繃,繃帶(绷带),繃帶,1
3480,繃,繃臉(绷脸),繃著臉,1
3483,砰,砰砰,,1
3484,耿,耿直,,1
3513,怔,怔住,,1
3525,嬰,嬰兒(婴儿),,1
3529,屏,屏幕,屏幕,1
3530,屏,屏除,屏除,1
3533,瓊,瓊樓(琼楼),,1
3539,阱,陷阱,,1
3540,靖,綏靖(绥靖),,1
3544,穎,新穎(新颖),,1
3554,聘,招聘,,1
3561,昔,昔日,,1
3569,碩,碩士(硕士),,1
3577,奕,神采奕奕,,1
3579,腋,腋下,,1
3580,繹,演繹(演绎),,1
3586,璧,完璧歸趙(完璧归赵),,1
3595,逞,逞強(逞强),,1
3598,擲,投擲(投掷),,1
3615,廷,朝廷,,1
3623,蛉,蜻蛉,,1
3626,玲,玲瓏(玲珑),,1
3639,螢,螢火蟲(萤火虫),,1
3644,銘,銘記(铭记),,1
3645,螟,螟蟲(螟虫),,1
3646,鼎,鼎盛,,1
3649,濘,泥濘(泥泞),,1
3660,剔,剔除,,1
3663,滌,洗滌(洗涤),,1
3668,瀝,瀝乾(沥干),瀝乾,1
3669,瀝,大瀝(大沥),大瀝，地名,1
3670,靂,霹靂(霹雳),,1
3672,礫,砂礫(砂砾),,1
3676,寂,寂靜(寂静),,1
3683,覓,尋覓(寻觅),,1
3685,霹,霹靂(霹雳),,1
3689,藤,藤蔓,,1
3690,楞,楞角,楞角,1
3691,楞,發楞(发楞),發楞,1
3692,稜,稜角(棱角),,1
3694,憎,憎恨,,1
3698,僧,僧人,,1
3701,崩,崩潰(崩溃),,1
3703,鵬,大鵬(大鹏),,1
3706,蹬,蹬腿,,1
3707,鄧,鄧(邓),,1
3713,肋,肋骨,,1
3728,凌,凌晨,,1
3730,菱,菱角,,1
3749,兢,兢兢業業(兢兢业业),,1
3759,拯,拯救,,1
3765,匿,匿名,,1
3782,拭,擦拭,,1
3784,棘,荊棘(荆棘),,1
3787,抑,抑制,,1
3796,瘤,腫瘤(肿瘤),,1
3799,硫,硫磺,,1
3806,囚,囚犯,,1
3812,疇,範疇(范畴),,1
3826,鳩,斑鳩(斑鸠),,1
3827,蚯,蚯蚓,,1
3858,鈕,按鈕(按钮),,1
3863,肘,肘部,,1
3873,灸,針灸(针灸),,1
3875,韭,韭菜,,1
3876,玖,玖,,1
3890,臼,臼齒(臼齿),,1
3906,漱,漱口,,1
3913,疚,內疚(内疚),,1
3917,佑,保佑,,1
3920,輻,輻射(辐射),,1
3929,兜,兜風(兜风),,1
3936,簍,竹簍(竹篓),,1
3944,侯,諸侯(诸侯),,1
3946,嘔,嘔啞(呕哑),嘔啞,1
3947,嘔,嘔吐(呕吐),嘔吐,1
3948,嘔,嘔氣(呕气),嘔氣,1
3950,鷗,海鷗(海鸥),,1
3953,蚪,蝌蚪,,1
3960,垢,污垢,,1
3961,苟,苟且,,1
3966,藕,蓮藕(莲藕),,1
3973,牡,牡丹,,1
