聲紐,呼,等,韻部,聲調,組,攝,單字
幫,合,三,虞,平,幫,遇,柎
並,合,三,東,入,幫,通,复
並,合,三,虞,去,幫,遇,祔
並,合,三,虞,去,幫,遇,鮒
,,,,,,,𧌓
並,合,三,虞,去,幫,遇,賻
見,開,一,咍,平,,蟹,侅
見/見,開/開,一/二,咍/皆,平/平,,蟹/蟹,荄
,,,,,,,矸
見,開,一,談,平,,咸,疳
匣,開,一,寒,去,影,山,扞
見,開,一,寒,去,見,山,榦
,,,,,,,淦
見/匣,開/開,一/二,寒/刪,去/去,,山/山,骭
見/見/見,開/開/開,一/一/一,覃/東/覃,上/去/去,,咸/通/咸,𧆐
見,開,二,江,平,見,江,矼
見,開,二,江,平,,江,釭
,,,,,,,堽
見,開,一,豪,平,見,效,皐
見,開,一,豪,平,,效,橰
見,開,一,豪,平,見,效,櫜
見,開,一,豪,平,見,效,鼛
見/見,開/開,一/一,豪/沃,去/入,,效/通,郜
見,開,一,豪,上,見,效,暠
匣,開,一,麧,入,,臻,紇
匣,開,四,屑,入,,山,紇
見,開,一,,入,,咸,佮
見/來,開/開,二/一,陌/鐸,入/入,,梗/宕,挌
,,,,,,,搿
見/見,開/開,二/一,洽/,入/入,,咸/咸,韐
見,開,一,寒,入,見,山,輵
見,開,一,歌,上,見,果,哿
見,開,一,歌,上,見,果,舸
見,開,一,登,去,,曾,亘
見,開,二,庚,平,見,梗,鶊
見,開,二,庚,上,見,梗,挭
見,開,二,庚,上,見,梗,綆
,,,,,,,㾘
見,開,二,庚,上,見,梗,鯁
見,開,二,庚,上,見,梗,骾
見,合,二,庚,平,見,梗,觥
見/見,開/開,三/三,鍾/鍾,上/平,,通/通,廾
見,開,三,鍾,上,見,通,巩
見,開,三,鍾,上,見,通,栱
見,開,一,侯,平,見,流,緱
見,開,一,侯,平,,流,鞲
見,開,一,侯,上,見,流,耇
見,開,一,侯,去,見,流,遘
,,,,,,,𡻉
見,開,一,侯,去,見,流,覯
見,開,一,模,平,見,遇,柧
見,開,一,模,平,見,遇,罛
見,開,一,模,平,見,遇,菰
見,開,一,模,平,,遇,酤
見,開,一,模,平,見,遇,觚
見,開,一,東,入,見,通,糓
見,開,一,模,上,見,遇,罟
見,開,一,模,上,見,遇,羖
見,開,二,麻,上,見,假,嘏
見,開,一,模,上,,遇,盬
見,合,一,冬,入,見,通,牿
見/見,合/合,二/二,麻/佳,平/平,,假/蟹,騧
見,合,二,佳,去,,蟹,詿
,,,,,,,啩
見,合,二,佳,去,,蟹,罣
見,合,二,刪,平,,山,瘝
見,合,一,桓,上,,山,痯
見,合,二,刪,去,見,山,丱
見,合,一,寒,去,見,山,祼
見,合,一,寒,去,見,山,瓘
見,合,一,唐,平,,宕,洸
見,合,三,支B,平,見,止,嬀
