聲紐,呼,等,韻部,聲調,組,攝,單字
曉,合,三,文,平,影,臻,曛
曉,合,三,文,平,影,臻,纁
心,合,三,真A,平,精,臻,恂
邪/船,合/合,三/三,諄/諄,平/平,,臻/臻,紃
心,合,三,真A,平,精,臻,珣
心,合,三,真A,上,精,臻,簨
邪,合,三,諄,平,,臻,揗
船/船,合/合,三/三,諄/諄,上/去,,臻/臻,揗
邪,開,三,侵A,平,,深,鱏
邪,開,三,侵A,平,精,深,鄩
定,開,一,覃,平,,咸,燂
邪,開,三,鹽A,平,,咸,燖
,,,,,,,燖
曉,開,二,麻,平,影,假,岈
疑,開,二,佳,平,見,蟹,厓
疑,開,二,佳,去,見,蟹,睚
曉,開,二,麻,上,,假,襾
疑,開,二,麻,去,見,假,砑
,,,,,,,猰
影,開,三,鹽A,平,影,咸,懕
影,開,三,鹽A,平,,咸,㤿
影,開,三,嚴,去,,咸,㤿
影,開,三,仙B,平,,山,鄢
以,開,三,鹽A,平,,咸,閆
疑,開,四,先,平,,山,姸
以,開,三,仙A,平,以,山,郔
以,開,三,仙A,平,以,山,䀽
,,,,,,,啱
疑,開,三,嚴,平,見,咸,䉷
以,開,三,鹽A,上,,咸,剡
常,開,三,鹽A,上,,咸,剡
影,開,一,覃,平,,咸,菴
影,開,三,鹽A,上,影,咸,厴
影,開,三,鹽B,上,影,咸,渰
以,開,三,鹽A,上,以,咸,扊
影/影,開/開,四/三,先/元,上/上,,山/臻,蝘
影,開,三,鹽A,上,影,咸,黶
影,開,三,元,上,影,山,鶠
影,開,三,元,上,影,山,鰋
疑/疑,開/開,三/三,元/仙B,上/上,,臻/山,巘
疑,開,三,仙B,上,見,山,齴
見,開,四,先,平,,山,豣
疑,開,一,寒,去,,山,喭
疑/疑,開/開,三/三,薛B/仙B,入/上,,山/山,讞
影,開,二,刪,去,影,山,鴳
影,開,二,刪,去,影,山,鷃
影,開,四,先,去,影,山,醼
影,開,四,先,去,影,山,讌
,,,,,,,抰
影,開,三,陽,平,影,宕,䄃
以/以,開/開,三/三,陽/陽,平/去,,宕/宕,颺
疑,開,一,唐,平,,宕,卬
疑,開,三,陽,上,,宕,卬
邪,開,三,陽,平,,宕,痒
以,開,三,陽,去,,宕,瀁
以,開,三,陽,上,,宕,瀁
影,開,三,宵B,上,影,效,殀
影,開,三,宵A,平,,效,葽
影,開,三,宵A,平,影,效,喓
匣,開,二,肴,平,影,效,殽
以,開,三,宵A,平,以,效,猺
以,開,三,宵A,平,以,效,愮
以,開,三,宵A,平,以,效,颻
,,,,,,,𩋃
以,開,三,宵A,平,以,效,鰩
以/以,開/開,三/三,宵A/尤,平/平,,效/流,蘨
影/影,開/開,四/二,蕭/肴,上/平,,效/效,窅
以,開,三,宵A,上,以,效,鷕
影/影,開/開,三/二,藥/覺,入/入,,宕/江,葯
,,,,,,,詏
以,開,三,麻,平,,假,鋣
,,,,,,,嘢
匣,開,四,添,入,影,咸,叶
以,開,三,祭A,去,,蟹,曵
云,開,三,鹽B,入,影,咸,燁
以,開,三,鹽A,入,以,咸,楪
云,開,三,鹽B,入,影,咸,饁
以,開,三,鹽A,入,以,咸,鍱
影,開,三,支B,平,影,止,禕
,,,,,,,洢
影,開,四,齊,上,,蟹,䚷
影,開,四,齊,平,影,蟹,鷖
以,開,三,支A,平,,止,匜
以,開,三,之,平,以,止,圯
澄,開,三,支B,上,,止,杝
定,開,四,齊,平,,蟹,荑
以,開,三,支A,平,,止,栘
,,,,,,,眙
以,開,三,支A,平,以,止,扅
,,,,,,,椸
疑,開,三,職,入,,曾,嶷
疑,開,三,之,平,,止,嶷
定,開,四,齊,平,,蟹,鮧
影,開,四,齊,上,影,蟹,𠯋
以,開,三,之,上,以,止,苢
疑,開,三,支B,上,見,止,艤
影,開,三,微,上,影,止,扆
影,開,三,真B,入,影,臻,鳦
影,開,三,支B,上,,止,輢
疑,開,三,微,上,見,止,顗
疑,開,三,支B,上,見,止,齮
疑,開,三,廢,去,見,蟹,乂
疑/曉,開/開,三/三,迄/迄,入/入,,臻/臻,仡
以,開,三,蒸,入,以,曾,杙
,,,,,,,秇
以,開,三,真A,入,以,臻,佾
以,開,三,質A,入,,臻,泆
以,開,三,祭A,去,以,蟹,枻
影,開,三,侵A,入,影,深,挹
船,開,三,脂A,去,,止,貤
影/影,開/開,一/三,/緝B,入/入,,咸/深,唈
影,開,三,緝B,入,,深,浥
以/以,開/開,三/三,祭A/脂A,去/去,,蟹/止,勩
以,開,三,蒸,入,以,曾,翊
影,開,三,祭B,去,影,蟹,瘞
疑,開,四,錫,入,,梗,鷊
以,開,三,真A,入,以,臻,鎰
疑,開,四,青,入,見,梗,鷁
影,開,三,蒸,入,影,曾,薏
影,開,四,齊,去,影,蟹,殪
影,開,四,齊,去,影,蟹,曀
疑,開,三,之,上,,止,儗
疑,開,三,脂B,去,見,止,劓
,,,,,,,𦠉
以,開,三,祭A,去,以,蟹,㵝
影,開,三,蒸,入,影,曾,檍
以,開,三,昔,入,,梗,斁
端,開,一,模,去,,遇,斁
,,,,,,,鐿
疑,開,四,青,入,見,梗,鶂
影,開,三,脂B,去,影,止,饐
疑/疑,開/開,二/四,麥/錫,入/入,,梗/梗,虉
,,,,,,,齸
影,開,三,真A,平,影,臻,垔
影/影,開/開,三/三,眞B/眞A,平/平,,臻/臻,駰
影,開,三,欣,平,影,臻,慇
,,,,,,,凐
影,開,三,真A,平,影,臻,裀
影,開,三,真A,平,影,臻,堙
影,開,三,侵A,平,影,深,愔
影,開,三,真A,平,影,臻,絪
影,開,三,真A,平,影,臻,歅
影,開,三,真A,平,影,臻,禋
影,開,三,真A,平,影,臻,闉
疑/見/見,開/開/開,三/一/一,眞B/痕/痕,平/平/去,,臻/臻/臻,珢
疑,開,三,真B,平,見,臻,誾
羣,開,三,侵B,上,,深,唫
疑,開,三,侵B,平,,深,唫
以,開,三,侵A,平,以,深,婬
疑,開,三,欣,平,,臻,齗
疑,開,三,眞A,上,,臻,齗
以,開,三,真A,平,以,臻,夤
,,,,,,,膶
疑,開,三,真B,平,見,臻,嚚
,,,,,,,釿
影,開,三,欣,上,,臻,檃
以,開,三,真A,上,以,臻,廴
影,開,三,侵B,去,影,深,廕
影,開,三,侵B,去,,深,癊
影,開,三,清A,平,影,梗,攖
影,開,二,耕,平,影,梗,罃
影,開,三,清A,平,影,梗,蘡
,,,,,,,蓥
,,,,,,,潆
以,開,三,鍾,平,以,通,鄘
以,開,三,鍾,平,以,通,墉
以,開,三,鍾,平,以,通,鏞
影,開,三,鍾,平,影,通,澭
影,開,三,鍾,平,影,通,雝
影,開,三,鍾,平,影,通,廱
影,開,三,鍾,平,,通,灉
影,開,三,鍾,平,影,通,饔
以,開,三,鍾,上,以,通,埇
以,開,三,鍾,上,以,通,涌
以,開,三,鍾,上,以,通,慂
以,開,三,鍾,上,以,通,𧗴
影,開,三,尤,平,影,流,麀
影,開,三,尤,上,影,流,懮
影,開,三,尤,平,影,流,櫌
影,開,三,尤,平,影,流,耰
影,合,一,唐,平,影,宕,尢
以,開,三,尤,平,以,流,斿
以,開,三,尤,平,以,流,蕕
匣,合,一,灰,平,影,蟹,蚘
以,開,三,尤,平,以,流,浟
云,開,三,尤,平,影,流,訧
以,開,三,尤,平,以,流,蝣
以/以/以,開/開/開,三/三/三,尤/尤/尤,平/上/去,,流/流/流,輶
,,,,,,,苃
以/以,開/開,三/三,尤/尤,上/平,,流/流,卣
以,開,三,尤,上,以,流,羑
以/以,開/開,三/三,尤/尤,上/去,,流/流,槱
云,開,三,尤,去,影,流,侑
,,,,,,,迶
以,開,三,魚,平,以,遇,妤
以,合,三,虞,平,,遇,兪
以,開,三,魚,平,以,遇,狳
云,合,三,虞,平,,遇,雩
以/以,合/合,三/三,虞/虞,平/上,,遇/遇,楰
疑,合,三,虞,平,見,遇,嵎
以,合,三,虞,平,以,遇,踰
以,合,三,虞,平,,遇,窬
疑,開,三,鍾,平,見,通,顒
以,合,三,虞,平,以,遇,蝓
疑,合,三,虞,上,見,遇,俁
疑,開,三,魚,上,見,遇,敔
以,合,三,虞,上,以,遇,庾
疑,開,三,魚,上,,遇,鋙
云,合,三,虞,上,影,遇,瑀
云/見,合/合,三/三,虞/虞,上/上,,遇/遇,楀
以,合,三,虞,上,以,遇,窳
邪,開,三,魚,上,,遇,藇
以,合,三,虞,上,以,遇,貐
疑,合,三,虞,上,,遇,麌
影,開,三,魚,去,影,遇,飫
影,合,三,文,入,影,臻,欝
,,,,,,,㤢
曉,合,三,職,入,,曾,淢
云,合,三,職,入,,曾,淢
,,,,,,,㥔
以,開,三,鍾,入,以,通,鵒
以,開,三,魚,去,以,遇,蕷
云,合,三,蒸,入,影,曾,罭
以,開,三,魚,去,以,遇,澦
云/匣,合/合,三/一,職/德,入/入,,曾/曾,蜮
影,開,一,豪,去,,效,隩
影,開,三,屋,入,,通,隩
云,合,三,職,入,,曾,緎
影,開,一,豪,去,,效,墺
影,開,三,屋,入,,通,墺
影,開,三,東,入,影,通,薁
以,合,三,真A,入,以,臻,遹
以,合,三,術,入,,臻,鴥
以/見,合/合,三/三,術/術,入/入,,臻/臻,繘
以,合,三,真A,入,以,臻,霱
以/船,合/合,三/三,術/術,入/入,,臻/臻,驈
以/以,開/開,三/三,魚/魚,平/去,,遇/遇,鸒
以,合,三,虞,去,,遇,龥
影,合,三,文,入,影,臻,爩
影,合,四,先,平,影,山,㾓
影,合,四,先,平,,山,蜎
影,合,三,元,平,影,山,鵷
疑,合,三,元,平,見,山,芫
疑,合,一,寒,平,見,山,园
疑,合,三,元,平,見,山,嫄
疑,合,三,元,平,見,山,騵
疑,合,三,元,去,見,山,愿
,,,,,,,曱
,,,,,,,矱
云,合,三,元,入,影,山,戉
疑/疑/疑,合/合/合,三/二/一,月/黠/沒,入/入/入,,臻/山/臻,刖
常/崇,開/開,三/二,藥/覺,入/入,,宕/江,汋
疑,合,三,元,入,見,山,抈
以,開,三,陽,入,以,宕,礿
疑,合,三,元,入,見,山,玥
疑,合,三,月,入,,臻,軏
疑,合,三,元,入,見,山,跀
以,開,三,陽,入,以,宕,龠
以,開,三,陽,入,以,宕,瀹
以,開,三,陽,入,以,宕,籥
疑,開,二,江,入,見,江,鸑
影,合,三,文,平,,臻,熅
,,,,,,,熅
影,合,三,真B,平,影,臻,贇
云,合,三,文,平,影,臻,蕓
云,合,三,文,平,影,臻,妘
,,,,,,,昀
以,合,三,諄,平,,臻,畇
以,合,三,真A,上,以,臻,狁
云,合,三,真B,上,影,臻,磒
影,合,三,文,平,,臻,緼
影,合,三,文,去,,臻,緼
匣,合,一,魂,平,,臻,餫
云,合,三,文,去,,臻,餫
精,開,一,覃,入,精,咸,帀
精,開,一,寒,入,精,山,拶
,,,,,,,臢
從,開,一,盍,入,,咸,𢶍
心,開,一,盍,入,,咸,𢶍
莊,開,三,之,平,,止,菑
,,,,,,,儎
精,開,一,覃,上,精,咸,昝
精/從,開/開,一/三,覃/葉A,上/入,,咸/咸,寁
,,,,,,,撍
精,合,一,寒,上,精,山,儹
從,開,一,寒,上,,山,趲
精,開,一,唐,平,精,宕,牂
,,,,,,,駔
精,開,一,豪,上,精,效,璪
清,開,一,豪,去,精,效,慥
透,開,一,唐,入,端,宕,蘀
,,,,,,,啫
莊,開,二,耕,入,莊,梗,幘
莊,開,二,陌,入,,梗,笮
知,開,二,陌,入,,梗,舴
莊,開,二,耕,入,莊,梗,簀
莊,開,三,蒸,入,莊,曾,昃
從,開,一,登,入,精,曾,蠈
莊,開,三,侵B,去,莊,深,譖
精,開,一,登,平,精,曾,罾
從,開,三,蒸,平,精,曾,繒
精,開,三,麻,上,,假,抯
莊,開,二,麻,平,,假,抯
娘,開,二,麻,平,知,假,摣
,,,,,,,蹅
莊,開,二,麻,平,,假,齇
,,,,,,,甴
崇,開,二,咸,入,莊,咸,牐
崇,開,二,洽,入,,咸,煠
,,,,,,,譗
,,,,,,,苲
知,開,二,麻,去,,假,咤
莊,開,二,麻,上,莊,假,痄
莊,開,二,麻,上,莊,假,鮓
莊,開,二,麻,去,,假,搾
莊,開,二,麻,去,莊,假,醡
莊,開,二,皆,去,莊,蟹,瘵
知,開,三,仙B,平,,山,邅
章,開,三,仙A,平,章,山,鸇
章/章,開/開,三/三,仙A/仙A,平/上,,山/山,饘
知,開,三,仙B,平,知,山,鱣
知,開,三,仙B,平,,山,驙
,,,,,,,魙
莊,開,二,山,上,莊,山,琖
知,開,三,仙B,上,,山,搌
莊,開,二,山,上,,山,醆
知,開,三,仙B,上,,山,皽
崇/崇,開/開,二/二,山/刪,上/去,,山/山,輚
崇/崇/從/崇,開/開/開/開,二/二/二/二,山/山/山/刪,上/平/平/去,,山/山/山/山,虥
章,開,三,陽,平,章,宕,鄣
章,開,三,陽,平,章,宕,麞
章,開,三,陽,平,章,宕,慞
,,,,,,,嫜
澄,開,三,宵B,上,知,效,旐
章,開,三,麻,去,章,假,嗻
知,開,二,庚,入,知,梗,虴
章/章,開/開,三/三,薛A/祭A,入/入,,山/蟹,晢
知,開,三,仙B,入,知,山,喆
,,,,,,,胗
章,開,三,真A,平,章,臻,帪
莊,開,三,臻,平,,臻,蓁
章,開,三,真A,平,章,臻,禛
章,開,三,侵A,平,,深,鍼
章,開,三,真A,上,章,臻,軫
章,開,三,眞A,上,,臻,袗
章,開,三,眞A,上,,臻,紾
章,開,三,真A,上,章,臻,鬒
章,開,三,眞A,去,,臻,侲
章,開,三,眞A,平,,臻,侲
澄,開,三,侵B,去,知,深,鴆
章,開,三,清A,平,章,梗,鉦
章,開,三,蒸,平,,曾,烝
,,,,,,,㬹
定,開,四,青,去,端,梗,掟
章,開,三,清A,去,章,梗,証
章,開,三,支A,平,,止,衹
章,開,三,支A,平,章,止,巵
,,,,,,,値
常/昌,開/開,三/三,職/之,入/去,,曾/止,埴
知,開,三,侵B,入,知,深,縶
章,開,三,清A,入,章,梗,摭
章,開,三,清A,入,章,梗,蹠
端,開,四,錫,入,,梗,蹢
澄,開,三,昔,入,,梗,蹢
澄,開,三,清B,入,知,梗,𧓸
章,開,三,之,上,章,止,阯
章,開,三,支A,上,章,止,帋
章,開,三,支A,上,章,止,軹
知,開,三,脂B,上,知,止,黹
澄/澄,開/開,三/二,支B/佳,上/上,,止/蟹,豸
章,開,三,支A,去,章,止,忮
章,開,三,真A,入,章,臻,郅
知,開,三,真B,入,知,臻,挃
知,開,三,蒸,入,知,曾,陟
知,開,三,脂B,去,知,止,輊
澄,開,三,真B,入,知,臻,袠
章,開,三,真A,入,章,臻,騭
澄,開,三,祭B,去,知,蟹,彘
章,開,三,真A,入,章,臻,鑕
澄,開,三,脂B,去,知,止,稺
章,開,三,支A,去,章,止,寘
知,開,三,脂B,去,,止,疐
知,開,三,脂B,去,知,止,躓
章,開,三,支A,去,,止,觶
透,開,四,齊,去,,蟹,薙
邪,開,三,脂B,上,,止,薙
澄,開,三,脂B,上,,止,薙
知/章,開/開,三/三,脂B/脂A,去/去,,止/止,懥
澄,開,三,東,平,知,通,种
常,開,三,鍾,上,章,通,尰
知,開,三,尤,平,知,流,侜
知,開,三,尤,平,知,流,輈
章,開,三,尤,平,章,流,賙
章,開,三,尤,平,章,流,輖
定/澄/定,開/開/開,一/三/一,屋/屋/沃,入/入/入,,通/通/通,碡
章,開,三,尤,上,章,流,箒
澄,開,三,尤,去,知,流,酎
莊,開,三,尤,去,莊,流,甃
崇,開,三,尤,去,莊,流,僽
澄,開,三,尤,去,知,流,籀
知,合,三,虞,平,知,遇,邾
章,合,三,虞,平,,遇,咮
知,開,三,尤,去,,流,咮
常,合,三,虞,平,章,遇,洙
知,開,三,魚,平,,遇,潴
澄,開,三,屋,入,,通,蓫
澄,開,三,燭,入,,通,蠋
章,合,三,虞,上,章,遇,麈
澄,開,三,魚,上,知,遇,竚
澄,開,三,魚,上,知,遇,紵
娘,開,二,耕,平,知,梗,薴
昌/章,開/開,三/三,屋/屋,入/入,,通/通,柷
章,合,三,虞,去,,遇,祩
澄,開,三,魚,上,知,遇,羜
章,合,三,虞,去,章,遇,馵
章,開,三,魚,去,章,遇,翥
章,合,三,虞,去,章,遇,霔
溪,合,一,戈,平,,果,簻
,,,,,,,跩
端,合,一,桓,平,,山,耑
,,,,,,,耑
定/章/章,合/合/合,一/三/三,桓/仙A/仙A,平/上/去,,山/山/山,剸
章,合,三,仙A,平,,山,鱄
崇,合,三,仙B,上,,山,僎
崇,合,三,仙B,去,,山,譔
,,,,,,,幩
章,合,三,脂A,平,章,止,隹
章,合,三,脂A,平,章,止,騅
澄,合,三,支B,去,知,止,縋
知,合,三,真B,平,知,臻,迍
知,合,三,諄,平,,臻,窀
定,合,一,魂,平,端,臻,啍
知,開,二,江,入,知,江,倬
端,開,四,齊,去,,蟹,蝃
章,合,三,薛A,入,,山,蝃
知,開,二,江,入,知,江,斲
知,開,二,江,入,知,江,㧻
知,開,二,覺,入,,江,椓
章,開,三,陽,入,章,宕,禚
崇/莊,開/開,二/二,覺/覺,入/入,,江/江,篧
章,開,三,陽,入,章,宕,謶
崇,開,二,江,入,莊,江,鷟
精/從,開/開,三/三,之/之,平/去,,止/止,孖
莊,開,三,之,平,莊,止,緇
精,開,三,之,平,精,止,嗞
精,開,三,脂A,平,精,止,粢
清,開,三,脂A,平,精,止,趑
莊,開,三,之,平,莊,止,錙
精,開,三,之,平,精,止,鎡
精,開,三,之,平,,止,鼒
從,開,一,咍,平,,蟹,鼒
精,開,三,支A,平,精,止,頿
精,開,三,之,上,精,止,耔
精,開,三,支A,上,精,止,呰
精/精,開/開,三/三,支A/支A,平/上,,止/止,訾
莊,開,三,之,去,莊,止,剚
從,開,三,支A,去,,止,㧘
莊,開,三,之,去,莊,止,倳
崇,開,二,佳,去,莊,蟹,眦
莊,開,三,之,去,莊,止,胾
精/精,開/開,一/三,東/鍾,平/平,,通/通,豵
精,開,一,東,平,,通,鬷
精,開,一,東,上,,通,𩱛
莊,開,三,尤,平,莊,流,騶
精,合,三,虞,平,精,遇,諏
精,開,一,侯,平,,流,陬
精,開,一,侯,平,,流,掫
,,,,,,,棸
精,開,一,侯,平,,流,棷
精,開,一,侯,平,,流,緅
莊,開,三,尤,平,,流,鄹
從,開,一,侯,平,,流,鯫
莊,開,三,魚,平,莊,遇,菹
清,開,三,魚,平,精,遇,岨
,,,,,,,𨉖
精,合,一,寒,上,精,山,纘
透,開,四,怗,入,,咸,鉆
羣,開,三,鹽B,平,,咸,鉆
精,開,三,支A,平,,止,觜
從,合,一,泰,去,精,蟹,蕞
精,合,一,魂,平,精,臻,罇
精,合,一,魂,上,精,臻,噂
初,合,二,夬,去,莊,蟹,嘬
從,開,一,模,去,精,遇,阼
從,開,一,唐,入,精,宕,怍
從,開,一,模,去,精,遇,胙
從,開,一,唐,入,精,宕,酢
,,,,,,,咗
,,,,,,,㧜
,,,,,,,㷽
,,,,,,,䏭
,,,,,,,𨧜
,,,,,,,𠜎
,,,,,,,𠯽
,,,,,,,𠸐
,,,,,,,𠹸
,,,,,,,𡏒
,,,,,,,𣲆
,,,,,,,𫐮
,,,,,,,𫫄
,,,,,,,趤
並,開,一,登,入,幫,曾,𧟱
,,,,,,,　
並,開,二,江,上,幫,江,㭋
並,合,一,冬,入,幫,通,鏷
定,開,一,覃,入,端,咸,龖
定,開,一,合,入,端,咸,龘
來,合,三,仙A,入,來,山,浖
昌,開,三,陽,入,章,宕,婥
章,開,三,陽,上,章,宕,仉
心,開,三,宵A,平,精,效,魈
章,開,三,陽,平,章,宕,獐
莊,開,三,之,平,莊,止,湽
莊,開,三,之,平,莊,止,鍿
初,開,三,之,平,莊,止,輺
生,開,二,咸,平,莊,咸,櫼
書,開,三,陽,上,章,宕,𩞃
見,開,一,模,上,見,遇,鼔
見,開,四,蕭,去,見,效,徼
溪,開,一,侯,上,見,流,釦
群,開,三,支B,去,見,止,鬾
群,合,三,文,平,見,臻,羣
崇,開,二,庚,平,莊,梗,傖
影,開,一,模,平,影,遇,汚
滂,開,三,支B,平,幫,止,鈹
幫,開,三,脂,去,幫,止,鉍
,,,,,,,鎳
,,,,,,,杧
,,,,,,,瀢
,,,,,,,䦯
影,開,三,真A,入,影,臻,弌
心,開,一,談,平,精,咸,弎
,,,,,,,䨙
,,,,,,,婀
,,,,,,,餷
邪,開,三,侵A,平,精,深,樳
常,合,三,仙A,上,章,山,腨
,,,,,,,䳨
,,,,,,,釔
端,開,四,蕭,上,端,效,釕
,,,,,,,銦
,,,,,,,銪
,,,,,,,釓
,,,,,,,鋱
,,,,,,,銩
,,,,,,,鑥
,,,,,,,鉭
,,,,,,,錸
,,,,,,,鎿
,,,,,,,錇
,,,,,,,鍩
,,,,,,,鐒
,,,,,,,鈩
,,,,,,,𨧀
,,,,,,,鐨
,,,,,,,𨨏
,,,,,,,𨭆
,,,,,,,鐽
滂,合,三,文,平,幫,臻,錀
,,,,,,,鎶
,,,,,,,𨭎
,,,,,,,鉝
,,,,,,,鿬
,,,,,,,鿫
並,合,一,灰,去,幫,蟹,苝
,,,,,,,鉨
,,,,,,,苄
,,,,,,,錒
,,,,,,,腖
,,,,,,,䥑
,,,,,,,蒽
,,,,,,,呋
見,開,一,模,平,見,遇,胍
,,,,,,,焓
,,,,,,,腈
,,,,,,,肼
,,,,,,,蒈
,,,,,,,莰
,,,,,,,醌
,,,,,,,鏻
來,開,三,仙A,上,來,山,膦
,,,,,,,脒
,,,,,,,萘
,,,,,,,哌
,,,,,,,蒎
,,,,,,,苉
,,,,,,,苊
見,合,一,魂,入,見,臻,䓛
,,,,,,,脎
,,,,,,,鉮
,,,,,,,酞
,,,,,,,熵
,,,,,,,醣
,,,,,,,䏲
,,,,,,,萜
,,,,,,,鎓
,,,,,,,肟
明,合,三,文,入,幫,臻,芴
,,,,,,,吡
,,,,,,,腙
,,,,,,,酏
,,,,,,,丌
,,,,,,,孬
,,,,,,,𪥸
,,,,,,,朊
定,開,一,豪,平,端,效,鞀
定,開,一,豪,平,端,效,鞉
,,,,,,,鉺
,,,,,,,亓
書,開,三,麻,去,章,假,厙
,,,,,,,刂
,,,,,,,贋
見,開,四,青,上,見,梗,剄
見,合,三,祭B,去,見,蟹,劌
明,開,三,支A,上,幫,止,羋
,,,,,,,劁
,,,,,,,扙
,,,,,,,仂
,,,,,,,佧
,,,,,,,伲
,,,,,,,亻
,,,,,,,俜
,,,,,,,倮
,,,,,,,佴
,,,,,,,傯
,,,,,,,僬
精,開,三,尤,去,精,流,僦
,,,,,,,氽
,,,,,,,吂
匣,開,一,模,去,影,遇,冱
,,,,,,,凇
見,合,三,陽,去,見,宕,誑
邪,開,三,脂A,上,精,止,兕
,,,,,,,誶
生,開,三,東,入,莊,通,謖
曉,開,三,之,平,影,止,誒
,,,,,,,讠
,,,,,,,阝
,,,,,,,阝
,,,,,,,阢
,,,,,,,卮
見,開,一,咍,平,見,蟹,陔
,,,,,,,隉
疑,合,一,灰,上,見,蟹,隗
,,,,,,,邗
,,,,,,,訁
見,開,二,咸,入,見,咸,郟
見,合,一,泰,去,見,蟹,鄶
,,,,,,,郇
,,,,,,,乇
,,,,,,,郾
來,開,四,青,平,來,梗,酃
徹,開,三,祭B,去,知,蟹,傺
曉,開,三,鍾,入,影,通,勖
,,,,,,,囅
,,,,,,,郫
,,,,,,,坌
並,合,三,元,入,幫,山,垡
見,開,四,青,入,見,梗,墼
,,,,,,,圩
,,,,,,,壢
知,開,二,江,入,知,江,諑
,,,,,,,坶
,,,,,,,坶
泥,開,一,豪,上,端,效,堖
,,,,,,,垸
,,,,,,,垸
,,,,,,,垵
以,開,三,清A,入,以,梗,埸
,,,,,,,堋
,,,,,,,堋
,,,,,,,堍
,,,,,,,堀
,,,,,,,塄
,,,,,,,㙢
,,,,,,,暪
,,,,,,,塥
,,,,,,,艹
見,開,三,欣,上,見,臻,巹
,,,,,,,艿
,,,,,,,艿
透,開,一,模,上,端,遇,芏
,,,,,,,墚
來,開,四,青,入,來,梗,藶
,,,,,,,芘
精,開,一,東,上,精,通,蓯
,,,,,,,芘
,,,,,,,芤
,,,,,,,苘
,,,,,,,苤
,,,,,,,茚
,,,,,,,苠
,,,,,,,茈
,,,,,,,茈
,,,,,,,莛
曉,開,三,陽,平,影,宕,薌
見,開,二,江,平,見,江,茳
見,開,一,痕,去,見,臻,茛
明,開,二,佳,上,幫,蟹,蕒
匣,開,一,東,平,影,通,葒
,,,,,,,茈
來,開,三,脂A,去,來,止,莅
,,,,,,,薟
,,,,,,,薟
,,,,,,,菥
心,開,三,東,平,精,通,菘
,,,,,,,菝
,,,,,,,萑
,,,,,,,菥
,,,,,,,菔
,,,,,,,菪
,,,,,,,葜
,,,,,,,葶
生,開,二,江,入,莊,江,蒴
,,,,,,,鎣
明,開,二,耕,平,幫,梗,甍
,,,,,,,蓰
莊,開,三,侵B,入,莊,深,蕺
來,開,三,支A,平,來,止,蘺
,,,,,,,薜
,,,,,,,薜
,,,,,,,薷
心,開,三,陽,平,精,宕,葙
,,,,,,,蘖
,,,,,,,蘖
云,合,三,支B,上,影,止,蔿
,,,,,,,蒍
,,,,,,,夼
,,,,,,,𡯪
,,,,,,,𡯭
,,,,,,,尣
,,,,,,,扌
見,合,三,文,去,見,臻,捃
日,開,三,鍾,入,日,通,蓐
見,開,三,侵B,入,見,深,芨
心,合,三,仙A,平,精,山,揎
以,合,三,仙A,去,以,山,掾
,,,,,,,揸
昌,開,三,東,平,章,通,茺
,,,,,,,搠
澄,開,三,尤,上,知,流,葤
,,,,,,,萑
,,,,,,,撖
,,,,,,,擐
精,合,一,寒,入,精,山,攥
,,,,,,,卟
徹,開,三,仙B,上,知,山,蕆
,,,,,,,嘸
,,,,,,,呔
,,,,,,,嚦
,,,,,,,唚
書,開,三,之,去,章,止,弑
,,,,,,,哐
曉,合,三,支B,平,影,止,噅
,,,,,,,噝
,,,,,,,呲
,,,,,,,哏
,,,,,,,嘜
,,,,,,,揸
,,,,,,,唣
,,,,,,,唼
,,,,,,,啵
,,,,,,,唰
,,,,,,,嗪
匣,開,一,豪,平,影,效,嗥
,,,,,,,噯
,,,,,,,嗵
,,,,,,,嘞
精,開,一,覃,入,精,咸,嘁
,,,,,,,嗾
,,,,,,,噘
,,,,,,,嚆
,,,,,,,囝
清,開,三,清A,平,精,梗,圊
知,開,二,刪,入,知,山,哳
,,,,,,,襆
,,,,,,,帔
溪,開,四,先,平,見,山,岍
匣,開,四,先,上,影,山,峴
,,,,,,,嶴
,,,,,,,岜
,,,,,,,崬
,,,,,,,岣
,,,,,,,峁
以,開,三,清A,入,以,梗,嶧
心,開,三,東,平,精,通,崧
,,,,,,,崮
見,合,一,唐,入,見,宕,崞
,,,,,,,崾
以,合,三,虞,平,以,遇,崳
,,,,,,,嶁
精,開,三,之,平,精,止,嵫
端,開,一,登,去,端,曾,嶝
,,,,,,,犭
,,,,,,,噙
日,開,三,東,平,日,通,狨
,,,,,,,獫
,,,,,,,猁
見,合,一,歌,上,見,果,猓
,,,,,,,猬
,,,,,,,猱
見,開,三,庚,去,見,梗,獍
,,,,,,,饣
,,,,,,,飠
,,,,,,,餳
,,,,,,,猸
初,開,二,耕,平,莊,梗,噌
,,,,,,,猹
知,開,三,脂B,上,知,止,夂
滂,開,三,支A,上,幫,止,庀
,,,,,,,廒
,,,,,,,忄
,,,,,,,㣺
,,,,,,,⺗
,,,,,,,怫
,,,,,,,懨
,,,,,,,怫
,,,,,,,惝
,,,,,,,閿
,,,,,,,丬
,,,,,,,氵
曉,開,三,欣,入,影,臻,汔
滂,合,三,東,平,幫,通,灃
,,,,,,,潙
,,,,,,,溈
,,,,,,,沲
明,開,二,肴,上,幫,效,泖
,,,,,,,涑
疑,開,一,模,平,見,遇,浯
云,合,三,微,平,影,止,潿
,,,,,,,湞
